stem	main form	forms	n	"sort (type ""x"" to keep the word for indexation"
basic literaci numeraci	basic numeracy and literacy	basic numeracy and literacy|&|basic literacy and numeracy	4	x
basic right	basic right	basic right|&|basic rights	2	x
basic sanit	basic sanitation	basic sanitation	2	x
basic skill	basic skills	basic skills	2	x
batteri	batteries	batteries|&|battery	1	x
bee	bee	bee|&|bees	1	x
bee hive	bee hives	bee hives|&|bee hive	2	x
bee keep	bee keeping	bee keeping	2	x
beekeep	beekeepers	beekeepers	1	x
behaviour chang	behaviour change	behaviour change|&|behavioural change|&| behavior change|&|behavior changes|&|change behavior|&|behavioral changes|&|Behavior change|&|Behavior Change|&|changing behaviors|&|changed behavior	2	x
benefit health insur	benefits of health insurance	benefits of health insurance	4	x
better nutrit	better nutrition	better nutrition	2	x
better life qualiti	better quality of life	better quality of life	4	x
better treatment	better treatment	better treatment	2	x
better environ work	better working environments	better working environments	3	x
big citi	big cities	big cities	2	x
biochar	biochar	biochar	1	x
biodivers	biodiversity	biodiversity	1	x
biodivers conserv	biodiversity conservation	biodiversity conservation|&|conservation of biodiversity	2	x
bioga	biogas	biogas	1	x
biomass	biomass	biomass	1	x
birth certif	birth certificate	birth certificate	2	x
blind children	blind children	blind children|&|Blind children	2	x
blind children zambia	blind children in Zambia	blind children in Zambia	4	x
blind peopl	blind people	blind people	2	x
blood	blood	blood	1	x
blood pressur	blood pressure	blood pressure	2	x
borrow money	borrowing money	borrowing money	2	x
bottl	bottles	bottles|&|bottle	1	x
braill	Braille	Braille|&|braille	1	x
brain stimul	brain stimulation	brain stimulation|&|Brain Stimulation	2	x
breast	breast	breast|&|Breast	1	x
breast cancer	breast cancer	breast cancer|&|Breast cancer	2	x
briquett	briquettes	briquettes|&|briquette	1	x
build capac farmer	building capacities of farmers	building capacities of farmers|&|building farmer capacity	4	x
build commun	building communities	building communities|&|community building|&|building community	2	x
build partnership	building partnerships	building partnerships	2	x
built capac	built capacities	built capacities	2	x
built school	built schools	built schools	2	x
burden women	burden of women	burden of women|&|burden on women	3	x
busi commun leader	business and community leaders	business and community leaders|&|community and business leaders	4	x
busi case	business case	business case	2	x
busi develop	business development	business development	2	x
busi growth	business growth	business growth	2	x
busi incub	business incubator	business incubator|&|business incubation|&|incubator businesses	2	x
busi leader	business leaders	business leaders|&|Business leaders|&|Business Leader	2	x
busi manag	business management	business management|&|Business Management|&|managing businesses	2	x
busi opportun	business opportunities	business opportunities|&|business opportunity	2	x
busi owner	business owners	business owners	2	x
busi peopl	business people	business people	2	x
busi practic	business practices	business practices	2	x
busi sector	business sector	business sector	2	x
busi skill	business skills	business skills	2	x
busi solut	business solutions	business solutions|&|Business Solutions	2	x
busi support	business support	business support|&|Business Support|&|support these businesses	2	x
busi govern	businesses and governments	businesses and governments|&|Business and Government	3	x
cancer	cancer	cancer|&|Cancer|&|cancers	1	x
cancer patient	cancer patients	cancer patients	2	x
build capac	capacity building	capacity building|&|Capacity Building|&|building capacity	2	x
build capac project	capacity building projects	capacity building projects	3	x
build capac workshop	capacity building workshops	capacity building workshops	3	x
capac support	capacity support	capacity support|&|support for capacity|&|support the capacity	2	x
capita incom	capita income	capita income	2	x
capit invest	capital investments	capital investments	2	x
atmospher carbon dioxid	carbon dioxide in the atmosphere	carbon dioxide in the atmosphere	5	x
care center	care centers	care centers|&|care center|&|Care Center|&|Care Centers	2	x
care deliveri	care delivery	care delivery|&|delivery of care	2	x
care orphan	care for orphans	care for orphans|&|orphans under the care	3	x
care organ	care organizations	care organizations|&|Care Organizations	2	x
care provid	care providers	care providers|&|providing care |&| care giver|&|care givers	2	x
care servic	care services	care services|&|care service	2	x
care system	care system	care system|&|care systems	2	x
career develop	career development	career development	2	x
carpentri	carpentry	carpentry	1	x
cash crop	cash crop	cash crop|&|cash crops|&|Cash crops	2	x
cash manag	cash management	cash management	2	x
cash transfer	cash transfer	cash transfer|&|cash transfers	2	x
cell phone	cell phones	cell phones|&|cell phone	2	x
ceram filter	ceramic filters	ceramic filters|&|Ceramic filters	2	x
cerebr palsi	cerebral palsy	cerebral palsy|&|Cerebral Palsy	2	x
cancer cervic	cervical cancer	cervical cancer|&|Cervical cancer	2	x
attitud chang	change attitude	change attitude|&|change the attitudes|&|change of attitude|&|change the attitude|&|change in attitude	2	x
chang percept	changing perceptions	changing perceptions|&|Perception change	2	x
cell charg phone	charge cell phones	charge cell phones|&|charging cell phones	3	x
charter school	charter school	charter school	2	x
chemic fertil	chemical fertilizers	chemical fertilizers|&|chemical fertilizer	2	x
chemic input	chemical inputs	chemical inputs	2	x
chicken	chicken	chicken|&|chickens|&|Chicken	1	x
chicken farm	chicken farms	chicken farms|&|chicken farm|&|Chicken Farms	2	x
abus child	child abuse	child abuse|&|abuse in child	2	x
birth child	child birth	child birth|&|child after birth	2	x
care child	child care	child care	2	x
child develop	child development	child development	2	x
child health	child health	child health|&|Child Health	2	x
care child health	child health care	child health care	3	x
child helplin	Child Helpline	Child Helpline|&|child helpline	2	x
child labour	child labour	child labour |&| child laborers|&|child labor |&| children work|&|working children	2	x
child mortal	child mortality |&| infant mortality	child mortality |&| child deaths	2	x
child protect	child protection	child protection|&|Child Protection	2	x
child right	child rights	child rights|&|child right|&|Rights of the Child|&|rights of the child|&|right of every child	2	x
abus child sexual	child sexual abuse	child sexual abuse|&|Child sexual abuse	3	x
child victim	child victim	child victim|&|child victims	2	x
child welfar	child welfare	child welfare|&|Child Welfare	2	x
childhood develop	Childhood Development	Childhood Development|&|childhood development	2	x
childhood educ	childhood education	childhood education	2	x
children risk	children at risk	children at risk|&|risk of children	3	x
children educ	children education	children education|&|education for children|&|education of children|&|education of the children|&|children through education	2	x
children famili poor	children from poor families	children from poor families	4	x
children countri develop	children in developing countries	children in developing countries	4	x
cholera	cholera	cholera	1	x
aid christian	Christian Aid	Christian Aid	2	x
christian muslim	Christians and Muslims	Christians and Muslims|&|Muslim and Christian|&|Muslims and Christians	3	x
chronic diseas	chronic disease	chronic disease|&|chronic diseases	2	x
chw	CHWs	CHWs|&|CHW	1	x
citizen journalist	citizen journalists	citizen journalists	2	x
citizen particip	citizen participation	citizen participation	2	x
citizenship right	citizenship rights	citizenship rights	2	x
citi commun	City community	City community|&|City communities|&|city and community|&|community and city	2	x
citi offici	City officials	City officials|&|city officials	2	x
civic engag	civic engagement	civic engagement	2	x
civic skill	civic skills	civic skills	2	x
civil registr	civil registration	civil registration|&|Civil Registration	2	x
civil societi	civil society	civil society|&|Civil Society|&|civil societies	2	x
civil war	civil war	civil war|&|civil wars	2	x
classroom electr use	classrooms without using electricity	classrooms without using electricity	4	x
clean energi	clean energy	clean energy|&|Clean Energy	2	x
altern clean energi	clean energy alternatives	clean energy alternatives	3	x
clean energi product	clean energy product	clean energy product|&|clean energy products	3	x
clean water	clean water	clean water |&| clean drinking water	2	x
clercin	Clercine	Clercine	1	x
chang climat	climate change	climate change|&|Climate change|&|Climate Change|&|climate Change	2	x
clinic servic	clinical services	clinical services|&|services that the clinics	2	x
clinic	clinics	clinics|&|clinic|&|Clinic|&|Clinics	1	x
clinton global initi	Clinton Global Initiative	Clinton Global Initiative	3	x
access clinton health initi	Clinton Health Access Initiative	Clinton Health Access Initiative	4	x
co2 emiss	CO2 emissions	CO2 emissions|&|CO2 emission|&|emission of CO2 |&| carbon emissions|&|carbon emission	2	x
coffe farmer	coffee farmers	coffee farmers	2	x
cognit develop	cognitive development	cognitive development	2	x
chain cold	cold chain	cold chain|&|Cold chain	2	x
collabor platform	collaboration platform	collaboration platform|&|collaborative platform	2	x
approach collabor	collaborative approach	collaborative approach	2	x
collabor design process	collaborative design process	collaborative design process	3	x
citizen collect donat	collecting donations from citizens	collecting donations from citizens	4	x
action collect	collective action	collective action|&|Collective action|&|collective actions	2	x
applic colleg	college applications	college applications	2	x
colleg graduat	college graduates	college graduates|&|graduates from college	2	x
colleg student	college students	college students	2	x
colleg volunt	college volunteers	college volunteers|&|college volunteer	2	x
combat poverti	combat poverty	combat poverty|&|combating poverty	2	x
combat violenc youth	combat youth violence	combat youth violence	3	x
commerci enterpris	commercial enterprises	commercial enterprises	2	x
commerci farmer	commercial farmers	commercial farmers	2	x
commerci model	commercial model	commercial model	2	x
commerci exploit sexual	commercial sexual exploitation	commercial sexual exploitation	3	x
commun skill	communication skills	communication skills|&|skills of community|&|skills in the communities|&|community skills	2	x
commun technolog	communication technology	communication technology|&|communications technologies|&|Communication Technologies	2	x
commun tool	communications tools	communications tools|&|communication tool|&|tool of communication|&|TOOL OF COMMUNICATION	2	x
awar commun	community awareness	community awareness|&|awareness of communities|&|awareness within communities|&|awareness amongst communities|&|awareness in the communities	2	x
bank commun	community bank	community bank|&|Community bank	2	x
base commun organ	community based organizations	community based organizations	3	x
base commun rehabilit	Community Based Rehabilitation	Community Based Rehabilitation|&|community based rehabilitation	3	x
capac commun	community capacity	community capacity|&|capacity of the community|&|capacity for community	2	x
center commun	Community Center	Community Center	2	x
clinic commun	community clinic	community clinic|&|clinic community	2	x
commun develop	community development	community development|&|Community Development|&|development community|&|developing communities|&|COMMUNITY DEVELOPMENT|&|communities in development|&|communal development	2	x
commun develop organ	community development organization	community development organization	3	x
commun develop program	community development program	community development program |&| community development project|&|community development projects	3	x
commun develop work	community development work	community development work|&|development work Communities	3	x
commun educ	community education	community education|&|Community Education|&|Education and Community	2	x
commun empower	community empowerment	community empowerment	2	x
commun engag	community engagement	community engagement|&|Community Engagement|&|engaging communities|&|engages the community|&|engagement among the community	2	x
commun educ environment	community environmental education	community environmental education|&|environmental education and community	3	x
commun facil	community facilities	community facilities|&|facility in the community|&|facilities in the community	2	x
commun health	community health	community health|&|Community Health|&|health community|&|health communication	2	x
care commun health	community health care	community health care|&|Community Health Care|&|health care in a community |&| Community Healthcare|&|community healthcare|&|healthcare community	3	x
center commun health	community health centers	community health centers|&|community health center	3	x
commun health worker	community health workers	community health workers|&|Community Health Workers|&|Community Health Worker|&|community health worker	3	x
commun invest	community investment	community investment	2	x
commun leader	community leaders	community leaders|&|Community leaders|&|community leader	2	x
commun leadership	community leadership	community leadership|&|community under the leadership	2	x
commun level	community level	community level|&|community levels	2	x
commun mobilis	community mobilisation	community mobilisation|&|Community Mobilisation |&| community mobilization	2	x
commun particip	community participation	community participation|&|participation in community|&|participation of community	2	x
commun pride	community pride	community pride	2	x
commun problem	community problems	community problems|&|problem of communication	2	x
commun radio	community radio	community radio|&|Community Radio|&|Communication by radio	2	x
commun resourc	community resources	community resources|&|Community Resource|&|resource communities	2	x
commun stakehold	community stakeholders	community stakeholders	2	x
commun develop sustain	community sustainable development	community sustainable development|&|Sustainable community development	3	x
commun transform	community transformation	community transformation|&|community Transformation	2	x
commun violenc	community violence	community violence|&|violence within communities	2	x
commun work	community work	community work|&|communities they work|&|community it works|&|communities it works|&|work in this community|&|communities we work|&|work in the community|&|work for the community|&|work in communities|&|work with communities|&|work Communities	2	x
commun youth	community youth	community youth|&|community youths|&|youth and community|&|Community youth|&|youth in the community|&|Community for Youth|&|youth communities|&|youth & communities|&|youth from the community|&|community among youth	2	x
community-bas health insur	Community-Based Health Insurance	Community-Based Health Insurance	3	x
community-l develop	community-led development	community-led development	2	x
compost product	compost production	compost production	2	x
class comput	computer classes	computer classes|&|computer class	2	x
comput lab	computer lab	computer lab	2	x
comput literaci	computer literacy	computer literacy	2	x
comput scienc	computer science	computer science|&|Computer Science	2	x
comput skill	computer skills	computer skills	2	x
condom use	condom use	condom use	2	x
conflict manag	conflict management	conflict management	2	x
conflict resolut	conflict resolution	conflict resolution	2	x
consum good	consumer goods	consumer goods	2	x
contamin	contamination	contamination	1	x
cookstov	cookstoves	cookstoves|&|cookstove|&|Cookstove |&| cook stoves	1	x
cooper societi	cooperative society	cooperative society	2	x
cooper	cooperatives	cooperatives|&|cooperation|&|Cooperatives|&|Cooperation|&|Cooperative	1	x
copi practic western	copy Western practices	copy Western practices	3	x
corpor respons social	Corporate Social Responsibility	Corporate Social Responsibility	3	x
address corpor e-mail	corporative e-mail address	corporative e-mail address	3	x
awar creat	creating awareness	creating awareness	2	x
creat job	creating jobs	creating jobs|&|Creating jobs|&|created jobs |&| creation of new jobs	2	x
common creativ	Creative Commons	Creative Commons |&| CC	2	x
access credit	credit access	access credit|&|credit access	2	x
credit score	credit scores	credit scores|&|credit score|&|credit scoring	2	x
crime violenc	crime and violence	crime and violence|&|violence or crime	3	x
crime rate	crime rates	crime rates|&|rate of crime|&|crime rate	2	x
crimin justic system	criminal justice system	criminal justice system	3	x
crop product	crop production	crop production	2	x
crop yield	crop yields	crop yields|&|Crop yields	2	x
activ cultur	cultural activities	cultural activities	2	x
barrier cultur	cultural barriers	cultural barriers|&|Cultural barriers	2	x
belief cultur	cultural beliefs	cultural beliefs	2	x
cultur data	cultural data	cultural data	2	x
cultur develop	cultural development	cultural development	2	x
cultur ident	cultural identity	cultural identity	2	x
cultur norm	cultural norms	cultural norms	2	x
cultur preserv	cultural preservation	cultural preservation|&|preserving culture	2	x
cultur resourc	cultural resources	cultural resources	2	x
academi applic custom manag smartphon	custom smartphone application for academy management	custom smartphone application for academy management	6	x
danger kerosen lamp	dangerous kerosene lamps	dangerous kerosene lamps	3	x
analysi data	data analysis	data analysis|&|Data analysis|&|analysis data	2	x
base data	data base	data base |&| database	2	x
collect data	data collection	data collection|&|collecting data|&|collection of data	2	x
collect data technolog	data collection technology	data collection technology|&|technology for data collection	3	x
data manag	data management	data management	2	x
data manag system	data management systems	data management systems	3	x
care day	day care	day care	2	x
children deaf	deaf children	deaf children	2	x
deaf peopl	deaf people	deaf people	2	x
deafblind peopl	deafblind people	deafblind people	2	x
death rate	death rates	death rates	2	x
deep water	deep waters	deep waters	2	x
deforest	deforestation	deforestation|&|Deforestation	1	x
deliv phone servic	delivered phone service	delivered phone service	3	x
democraci	democracy	democracy|&|Democracy	1	x
demonstr plot	demonstration plots	demonstration plots	2	x
desertif	desertification	desertification	1	x
design insur product	design insurance products	design insurance products	3	x
children destitut	destitute children	destitute children	2	x
develop initi	development initiatives	development initiatives	2	x
diagnosi	diagnosis	Diagnosis |&| diagnostics	1	x
diarrhea	diarrhea	Diarrhea |&| diarrhoea	1	x
diaspora	diaspora	diaspora|&|Diaspora	1	x
diesel	diesel	diesel|&|Diesel	1	x
digit literaci	digital literacy	digital literacy	2	x
digit media	digital media	digital media	2	x
digit technolog	digital technologies	digital technologies	2	x
dignifi job	dignified jobs	dignified jobs	2	x
dignifi life	dignified life	dignified life	2	x
disabl mainstream school	disabilities in mainstream schools	disabilities in mainstream schools|&|disabilities in these mainstream schools	4	x
disabl right	disability rights	disability rights	2	x
children disabl	disabled children	disabled children|&|children with disabilities|&|Children with disabilities|&|disability of children|&|Disabled children|&|children with a disability |&| disabled child|&|child with disabilities	2	x
disabl peopl	disabled people	disabled people|&|people with disabilities|&|people with disability|&|People with Disability	2	x
children disadvantag	disadvantaged children	disadvantaged children	2	x
commun disadvantag	disadvantaged communities	disadvantaged communities	2	x
disadvantag peopl	disadvantaged people	disadvantaged people|&|disadvantage people	2	x
disadvantag popul	disadvantaged population	disadvantaged population|&|disadvantaged populations	2	x
disadvantag youth	disadvantaged youth	disadvantaged youth|&|DISADVANTAGED YOUTH	2	x
disast prepared	disaster preparedness	disaster preparedness|&|Disaster Preparedness	2	x
disast risk	disaster risk	disaster risk|&|disaster risks	2	x
burden diseas	disease burden	disease burden|&|burden of disease	2	x
control diseas	Disease Control	Disease Control|&|diseases control	2	x
diseas outbreak	disease outbreaks	disease outbreaks	2	x
diseas patient	disease patients	disease patients|&|disease and patients	2	x
diseas prevent	disease prevention	disease prevention|&|Disease Prevention|&|preventable diseases|&|prevention of disease|&|preventable disease	2	x
diseas treatment	disease treatment	disease treatment|&|treatment of disease	2	x
displac person	displaced persons	displaced persons|&|Displaced Persons	2	x
distribut network	distribution networks	distribution networks|&|distribution network	2	x
domest violenc	domestic violence	domestic violence	2	x
domest worker	domestic workers	domestic workers	2	x
dominican republ	Dominican Republic	Dominican Republic	2	x
agenc donor	donor agencies	donor agencies	2	x
drink water	drinking water	drinking water|&|water drinking |&| potable water	2	x
drip irrig	drip irrigation	drip irrigation|&|Drip Irrigation	2	x
develop drive econom	drive economic development	drive economic development	3	x
dropout prevent	dropout prevention	dropout prevention	2	x
dropout rate	dropout rate	dropout rate|&|dropout rates	2	x
drug	drug	drug|&|drugs|&|Drug|&|Drugs|&|DRUG	1	x
abus drug	drug abuse	drug abuse|&|drugs abuse|&|abuse drugs	2	x
addict drug	drug addiction	drug addiction|&|Drug Addiction|&|drug addict	2	x
drug resist	drug resistance	drug resistance|&|drug resistant	2	x
drug treatment	drug treatment	drug treatment|&|treatment drug	2	x
drug user	drug users	drug users|&|Drug Users |&| drug use|&|use drugs|&|drugs use|&|using drugs	2	x
area dri	dry area	dry area|&|dry areas	2	x
dri season	dry season	dry season	2	x
bearer duti	duty bearers	duty bearers|&|duty bearer	2	x
e-book	e-books	e-books	1	x
bank earth	earth bank	earth bank|&|bank of earth	2	x
ecolog	ecology	ecology	1	x
crisi econom	economic crisis	economic crisis	2	x
develop econom	economic development	economic development|&|Economic Development	2	x
econom empower	economic empowerment	economic empowerment|&|Economic empowerment|&|Economic Empowerment|&|economical empowerment|&|ECONOMIC EMPOWERMENT	2	x
econom opportun	economic opportunities	economic opportunities|&|economic opportunity	2	x
econom resourc	economic resources	economic resources	2	x
econom secur	Economic Security	Economic Security|&|economic security	2	x
econom statu	economic status	economic status	2	x
econom sustain	economic sustainability	economic sustainability	2	x
econom system	economic system	economic system	2	x
econom valu	economic value	economic value	2	x
ecosystem	ecosystem	ecosystem|&|ecosystems|&|Ecosystem	1	x
ecotour	ecotourism	ecotourism|&|Ecotourism	1	x
center educ	education center	education center|&|center of education	2	x
class educ	education classes	education classes	2	x
educ fund	Education Fund	Education Fund|&|fund education|&|education fund	2	x
educ level	education levels	education levels|&|level of education|&|levels of education|&|educational levels|&|level education|&|education level	2	x
educ outcom	education outcomes	education outcomes|&|educational outcomes|&|educational outcome	2	x
educ outreach	education outreach	education outreach|&|outreach and education	2	x
educ program	education programs	education programs|&|education program|&|Education Program|&|Education program|&|educational programs|&|Educational programs	2	x
educ reform	education reform	education reform|&|Education reform|&|educational reform	2	x
educ session	education sessions	education sessions	2	x
educ skill	education skills	education skills|&|skill education|&|educational skills|&|skills education|&|education and skill	2	x
educ structur	education structure	education structure	2	x
educ system	education system	education system|&|educational system|&|education systems|&|education Systems|&|educational systems|&|system of education	2	x
educ institut	educational institutions	educational institutions|&|education institutions|&|education institutes|&|educational institute|&|education institution	2	x
educ materi	educational materials	educational materials	2	x
educ opportun	educational opportunities	educational opportunities|&|educational opportunity|&|education opportunities	2	x
children educ opportun	educational opportunities for the children	educational opportunities for the children|&|children with educational opportunities	5	x
educ project	educational projects	educational projects|&|Education project	2	x
educ resourc	educational resources	educational resources|&|resources and education	2	x
educ support	educational support	educational support|&|education and support|&|support educational|&|support and education	2	x
educ workshop	educational workshops	educational workshops	2	x
efa	EFA	EFA	1	x
efficaci	efficacy	efficacy	1	x
el salvador	El Salvador	El Salvador	2	x
electr power	electrical power	electrical power|&|electricity or power|&|Electrical power	2	x
electr	electricity	electricity|&|Electricity	1	x
elementari school	elementary school	elementary school	2	x
care emerg	emergency care	emergency care|&|care emergency	2	x
emerg manag	Emergency Management	Emergency Management	2	x
emerg situat	emergency situations	emergency situations	2	x
emiss reduct	emission reduction	emission reduction	2	x
commun empow	empowering communities	empowering communities|&|Empowering Communities	2	x
empow widow	empowering widows	empowering widows	2	x
empow women	empowering women	empowering women|&|empowered women|&|empower of women|&|Empowering women	2	x
empower program	empowerment programs	empowerment programs|&|Empowerment Program|&|EMPOWERMENT PROGRAMS|&|empowerment program	2	x
end poverti	end poverty	end poverty|&|Ending poverty|&|End Poverty|&|ending poverty|&|end of poverty	2	x
access energi	energy access	energy access	2	x
consumpt energi	energy consumption	energy consumption	2	x
effici energi	energy efficiency	energy efficiency|&|energy efficient	2	x
energi fertil	energy or fertilizer	energy or fertilizer|&|fertilizer and energy	3	x
energi poverti	energy poverty	energy poverty|&|Energy poverty	2	x
cycl energi poverti	energy poverty cycle	energy poverty cycle	3	x
energi poverti problem	energy poverty problem	energy poverty problem|&|problem of energy poverty	3	x
energi product	energy products	energy products|&|energy production|&|energy product|&|energy during production	2	x
energi project	energy projects	energy projects	2	x
energi sourc	energy sources	energy sources|&|Energy sources	2	x
energi system	Energy Systems	Energy Systems|&|energy system	2	x
energi technolog	energy technologies	energy technologies|&|energy technology	2	x
cours english	English courses	English courses	2	x
english languag	English language	English language|&|English Language	2	x
develop enterpris	enterprise development	enterprise development|&|Development Enterprise|&|ENTERPRISE DEVELOPMENT|&|Enterprise Development	2	x
degrad environ	environment degradation	environment degradation|&|degradation of environment	2	x
environ protect	environment protection	environment protection|&|protection of the environment	2	x
awar environment	environmental awareness	environmental awareness	2	x
benefit environment	environmental benefits	environmental benefits	2	x
challeng environment	environmental challenges	environmental challenges	2	x
degrad environment	environmental degradation	environmental degradation	2	x
chang climat degrad environment	environmental degradation and climate change	environmental degradation and climate change	5	x
environment health	environmental health	environmental health|&|Environmental Health|&|environmental Health	2	x
environment impact	environmental impact	environmental impact|&|environmental impacts	2	x
environment issu	environmental issues	environmental issues |&| environmental problems	2	x
environment manag	environmental management	environmental management|&|Environmental Management	2	x
environment polici	environmental policy	environmental policy	2	x
environment pollut	environmental pollution	environmental pollution	2	x
environment protect	environmental protection	environmental protection	2	x
environment sustain	environmental sustainability	environmental sustainability	2	x
epilepsi	epilepsy	epilepsy	1	x
access equal	equal access	equal access	2	x
equal opportun	equal opportunities	equal opportunities|&|equal opportunity	2	x
equal right	equal rights	equal rights|&|Equal Rights	2	x
access equit	equitable access	equitable access	2	x
distribut equit	equitable distribution	equitable distribution	2	x
eros	erosion	erosion	1	x
ethnic minor	ethnic minorities	ethnic minorities|&|minority ethnicities|&|ethnic minority	2	x
extra incom	extra income	extra income	2	x
extrem poverti	extreme poverty	extreme poverty|&|EXTREME POVERTY	2	x
care eye	eye care	eye care	2	x
eye test	eye tests	eye tests	2	x
fair trade	Fair Trade	Fair Trade	2	x
farm product	farm productivity	farm productivity|&|farming productivity	2	x
develop farmer world	farmers in the developing world	farmers in the developing world	5	x
farmer increas	farmers increase	farmers increase|&|increase farmers	2	x
farmer work	farmers work	farmers work|&|farmer work|&|work with farmers	2	x
commun farm	farming communities	farming communities|&|farming community	2	x
fellowship program	fellowship program	fellowship program	2	x
femal student	female students	female students	2	x
femal teacher	female teachers	female teachers	2	x
fertil	fertilizer	fertilizer|&|fertility|&|fertilizers	1	x
fertil use	fertilizer use	fertilizer use|&|use of fertilizer	2	x
fetch water	fetching water	fetching water	2	x
fgm	FGM	FGM	1	x
aid fight	fight AIDS	fight AIDS|&|fight against AIDS	2	x
corrupt fight	fight corruption	fight corruption|&|fight against corruption	2	x
fight poverti	fight poverty	fight poverty|&|fight against poverty|&|fighting poverty|&|Fighting Poverty	2	x
assist financi	financial assistance	financial assistance	2	x
burden financi	financial burden	financial burden	2	x
educ financi	financial education	financial education|&|Financial Education	2	x
exclus financi	financial exclusion	financial exclusion|&|Financial exclusion	2	x
financi inclus	financial inclusion	financial inclusion	2	x
financi independ	financial independence	financial independence	2	x
financi inform	financial information	financial information	2	x
financi institut	financial institutions	financial institutions	2	x
financi literaci	financial literacy	financial literacy|&|Financial Literacy	2	x
financi resourc	financial resources	financial resources	2	x
financi servic	financial services	financial services	2	x
financi support	financial support	financial support	2	x
financi sustain	financial sustainability	financial sustainability	2	x
fish	fish	fish	1	x
aid food	food aid	food aid	2	x
administr drug food	Food and Drug Administration	Food and Drug Administration	4	x
