stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
commun societi	community and society	community and society|&|communities and society|&|community & society	3	15,7363937638	105,359391683	173,685252481	10,0	545,0	 
app develop	app development	app development	2	15,7363937638	113,397944843	245,766854675	6,0	223,0	 
institut tertiari	tertiary institutions	tertiary institutions|&|tertiary institution	2	42,4882631622	245,538755795	330,308713358	25,0	823,0	 
varieti way	variety of ways	variety of ways	3	18,8836725165	122,988369448	238,366026184	12,0	458,0	 
cell phone	cell phone	cell phone|&|cell phones|&|Cell Phone	2	140,053904498	675,545382655	209,777962457	70,0	2161,0	 
develop job	job development	job development|&|development job|&|development and job|&|development of job	2	22,0309512693	143,486431023	193,744844993	13,0	404,0	 
assess health	health assessment	health assessment|&|health assessments	2	14,1627543874	97,983779825	172,361175434	8,0	280,0	 
entranc exam	entrance exams	entrance exams	2	15,7363937638	108,870866472	201,551253061	11,0	440,0	 
class grade	class grades	class grades|&|grade class|&|grade classes|&|classes in each grade	2	15,7363937638	105,359391683	251,665793753	10,0	355,0	 
post pre test	pre and post tests	pre and post tests|&|pre and post test|&|pre & post test	4	19,857118079	128,330253811	221,581318853	10,0	405,0	 
busi model	business model	business model|&|business models|&|Business model	2	503,564600441	1717,46023795	370,174051117	313,0	9197,0	 
african descent peopl	people of African descent	people of African descent	4	15,8856944632	113,675327377	175,424127992	5,0	208,0	 
commun rural	rural communities	rural communities|&|rural community|&|Rural communities|&|community rural	2	325,74335091	1269,74361239	412,032082614	170,0	5960,0	 
progress report	progress reports	progress reports|&|progress report|&|report progress|&|reports on the progress|&|report on the progress|&|report on progress|&|progress and report	2	132,185707616	615,198736566	169,847447464	81,0	3255,0	 
care palli	palliative care	palliative care	2	14,1627543874	102,058150359	254,936387714	6,0	202,0	 
fresh fruit veget	fresh fruits and vegetables	fresh fruits and vegetables|&|fresh fruit and vegetables|&|fresh vegetables and fruits|&|fresh fruit or vegetables|&|fresh fruit & vegetables	4	33,7571007343	204,47410498	335,930701416	15,0	533,0	 
children risk	risk children	risk children|&|children at risk|&|risk of children	2	14,1627543874	96,3156476199	224,329234457	9,0	526,0	 
author develop	Development Authority	Development Authority|&|development authorities	2	14,1627543874	96,3156476199	176,963639681	9,0	358,0	 
manag stress	stress management	stress management	2	34,6200662803	209,569637621	227,757589174	19,0	688,0	 
lack result	result of lack	result of lack|&|result of the lack|&|result of this lack|&|result of a lack	3	17,3100331402	114,24550848	170,935407898	11,0	337,0	 
campu colleg	college campus	college campus|&|College campus|&|campus college	2	37,7673450331	228,621422859	169,926467815	19,0	742,0	 
commun resourc	community resources	community resources|&|community resource|&|Community Resource|&|resources for the community|&|resources in the community|&|resources for communities|&|communities with resources|&|resources of the community|&|resources of communities|&|community of resources|&|resources into the community|&|resources in these communities|&|community and resources|&|resources of each community|&|resources in communities	2	127,464789487	612,87613707	208,566395435	66,0	2721,0	 
black cultur	Black culture	Black culture|&|black culture|&|Black Culture	2	20,4573118929	136,967209188	185,048939803	10,0	356,0	 
engag public	public engagement	public engagement	2	15,7363937638	107,017386244	192,51748038	9,0	242,0	 
altern offer	offer an alternative	offer an alternative|&|offer alternatives|&|offer alternative|&|alternatives offer	3	15,7363937638	105,359391683	181,38574526	10,0	288,0	 
age youth	youth ages	youth ages|&|youth age|&|youth aged|&|aged youth|&|youth between the ages|&|Youth ages|&|youths ages|&|age youth|&|youth below the age|&|youth under the age|&|age out youth|&|youth of all ages	2	119,596592605	580,607912115	193,652650186	66,0	2639,0	 
develop workshop	development workshops	development workshops|&|Development workshops|&|Development Workshops	2	31,4727875276	188,903509427	188,583655709	30,0	1201,0	 
assist hous	housing assistance	housing assistance	2	12,589115011	90,7183558744	273,62002656	6,0	241,0	 
issu mani	many issues	many issues	2	23,6045906457	150,096798115	210,060181365	14,0	488,0	 
area oper	areas of operation	areas of operation|&|area of operation|&|operation area|&|operation areas	3	33,046426904	201,830473477	231,350626366	18,0	675,0	 
environ natur	natural environment	natural environment	2	39,3409844095	228,95667726	235,759071818	24,0	741,0	 
perform project	project performance	project performance|&|performance of the project|&|performance of each project|&|performance of this project	2	17,3100331402	117,719124869	177,442583084	9,0	362,0	 
enrol student	student enrollment	student enrollment|&|enrolled students|&|student enrollments|&|students enrolled	2	36,1937056567	215,473139	220,330125398	21,0	759,0	 
demonstr plot	demonstration plots	demonstration plots	2	23,6045906457	163,306299708	193,303355222	8,0	329,0	 
dropout prevent	dropout prevention	dropout prevention	2	14,1627543874	102,058150359	271,394419223	6,0	329,0	 
good servic	goods and services	goods and services|&|goods & services|&|goods or services	3	45,635541915	271,683523087	252,988939899	21,0	735,0	 
media outlet	media outlets	media outlets|&|media outlet	2	72,3874113134	382,515507317	200,842816681	55,0	1656,0	 
few program	few programs	few programs|&|Few programs	2	34,6200662803	204,494215627	221,545897141	24,0	1005,0	 
age school	school age	school age|&|school aged|&|school around the age	2	25,1782300221	156,741167204	174,222180012	45,0	1583,0	 
data empir	empirical data	empirical data	2	14,1627543874	96,3156476199	183,56573501	9,0	281,0	 
bodi water	water bodies	water bodies|&|water body|&|body of water	2	39,3409844095	250,161330192	223,948515968	14,0	427,0	 
divers lack	lack of diversity	lack of diversity|&|lack diversity|&|diversity and lack	3	26,7518693984	172,092231323	173,905251009	13,0	476,0	 
childhood develop	childhood development	childhood development|&|Childhood Development	2	34,6200662803	213,42027648	199,891045473	17,0	554,0	 
corner store	corner stores	corner stores|&|corner store	2	15,7363937638	107,017386244	266,420776484	9,0	346,0	 
african american student	African American students	African American students	3	75,4570487001	407,315034548	317,09378125	29,0	1581,0	 
second year	second year	second year	2	163,658495143	718,900062243	350,809158948	112,0	3486,0	 
centr health	health centre	health centre|&|Health Centre	2	23,6045906457	163,306299708	231,706865705	8,0	411,0	 
new time york	New York Times	New York Times	3	41,6999479659	240,589331641	658,596590647	27,0	857,0	 
men other	other men	other men	2	18,8836725165	126,431270019	233,263687968	10,0	333,0	 
group target	target group	target group|&|target groups|&|targeted group|&|targeted groups|&|target this group|&|target a group|&|group target	2	206,146758306	899,44412714	187,136216681	107,0	3761,0	 
enrol increas	increase enrollment	increase enrollment|&|enrollment increase|&|increase the enrollment|&|increase in enrollment|&|increase in the enrollment	2	25,1782300221	161,969158892	214,3711367	13,0	448,0	 
organ servic social	social service organizations	social service organizations	3	13,8999826553	96,9316449778	187,747227464	6,0	204,0	 
base gender violenc	gender based violence	gender based violence|&|Gender Based Violence|&|Gender based violence	3	45,6713715817	268,314560581	198,39975251	18,0	661,0	 
best solut	best solution	best solution|&|best solutions	2	29,8991481512	180,991959763	234,388091483	19,0	651,0	 
