stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
farmer group	farmer groups	farmer groups|&|farmer group|&|farmers group|&|group of farmers|&|farmers groups|&|groups of farmers|&|farmer or group	2	44,0619025386	233,668360438	134,270476495	19,0	3285,0	 
direct	direction	direction|&|directions|&|directives|&|Direction|&|Directive	1	166,799791863	613,447173959	135,981288426	184,0	27599,0	 
kiva	Kiva	Kiva	1	43,6856597738	227,675495857	293,207416238	33,0	4356,0	 
chef	chefs	chefs|&|chef|&|Chef	1	59,5713542369	308,688203817	156,223415105	34,0	4830,0	 
disadvantag youth	disadvantaged youth	disadvantaged youth|&|disadvantaged youths	2	81,8292475717	373,0385226	202,281728247	40,0	4925,0	 
street	street	street|&|streets|&|Street|&|Streets	1	445,792300873	1346,8312681	199,316139442	376,0	51183,0	 
manur	manure	manure	1	41,6999479659	224,178038371	179,680848384	30,0	4635,0	 
first product	first product	first product|&|first products	2	80,2556081953	354,64802517	180,931336114	46,0	5812,0	 
semest	semester	semester|&|semesters	1	141,978394265	572,933156057	541,882663675	117,0	15941,0	 
children orphan	orphaned children	orphaned children|&|orphan children	2	47,2091812914	255,609828784	186,66242251	17,0	2452,0	 
financi literaci	financial literacy	financial literacy|&|Financial Literacy	2	236,045906457	848,269266435	299,899977507	105,0	15273,0	 
dialogu	dialogue	dialogue|&|dialogues|&|Dialogue|&|Dialogues	1	322,678168783	1053,79127998	455,837723783	254,0	34916,0	 
poverti unemploy	poverty and unemployment	poverty and unemployment|&|unemployment and poverty|&|poverty & unemployment|&|unemployment & poverty	3	45,635541915	224,317768881	314,030358865	28,0	3870,0	 
african women	African women	African women|&|African Women	2	39,3409844095	220,64647939	182,538077578	14,0	1774,0	 
asia	Asia	Asia	1	79,4284723159	358,899825371	270,075250713	116,0	16225,0	 
matter subject	subject matter	subject matter	2	42,4882631622	213,662716929	146,140482688	31,0	4492,0	 
filmmak	filmmakers	filmmakers|&|filmmaker	1	39,714236158	216,446035194	133,031662264	26,0	3479,0	 
rural women	rural women	rural women	2	69,2401325607	326,900812884	285,902818258	34,0	4853,0	 
conduct	conduct	conduct|&|Conduct|&|conduction	1	499,406519686	1305,7550741	159,801348131	546,0	76963,0	 
supplier	suppliers	suppliers|&|supplier	1	143,964106073	585,040249127	400,985083521	107,0	14300,0	 
new	New	New	1	232,328281524	809,068531221	339,901653475	622,0	83799,0	 
plant power	power plant	power plant|&|power plants|&|power the plant	2	48,7828206677	253,821902788	400,838686999	21,0	2889,0	 
hectar	hectares	hectares|&|hectare	1	61,5570660448	294,018568172	282,816946352	51,0	6725,0	 
offic space	office space	office space	2	34,6200662803	180,131672946	250,159197222	21,0	2893,0	 
evalu plan	evaluation plan	evaluation plan|&|evaluation plans	2	34,6200662803	180,131672946	197,263910734	21,0	3413,0	 
herb	herbs	herbs|&|herb	1	37,7285243501	201,503805289	125,748999778	38,0	5749,0	 
men	men	men|&|Men|&|MEN	1	998,813039373	2397,23611382	1684,8246612	984,0	139070,0	 
lgbt	LGBT	LGBT	1	89,3570313554	474,216512615	238,720308553	36,0	4442,0	 
china	China	China|&|china	1	184,671198135	801,239484867	203,319067914	79,0	9758,0	 
busi leader	business leaders	business leaders	2	51,9300994205	255,258150796	290,14641711	28,0	3825,0	 
treatment water	water treatment	water treatment|&|treatment of water	2	34,6200662803	189,5460362	199,483464981	16,0	2435,0	 
graduat high school	graduate high school	graduate high school|&|graduate from high school|&|high school graduation|&|high school graduates|&|High School graduation|&|high school graduate|&|graduation from high school|&|graduate from High School|&|graduate in high school|&|graduates from high school|&|graduation of high school|&|graduates high school	3	383,242378924	1112,57117216	2014,51919389	176,0	26005,0	 
path	path	path|&|paths|&|PATH|&|Path	1	265,092526354	869,195378062	360,878614039	313,0	43692,0	 
healthi relationship	healthy relationships	healthy relationships	2	45,635541915	227,69972635	207,909588278	26,0	4360,0	 
major problem	major problem	major problem|&|major problems	2	77,1083294426	339,08195192	154,076685435	47,0	6011,0	 
enrol	enrollment	enrollment|&|enrolment|&|Enrollment|&|enrollments|&|enrolls|&|enrol	1	234,313993332	796,647816278	878,486596393	285,0	40153,0	 
daughter	daughter	daughter|&|daughters	1	96,307022683	424,147517977	133,438650369	79,0	13349,0	 
forum	forum	forum|&|forums|&|Forum|&|Forums	1	371,328108077	1146,58043236	248,305737225	319,0	43744,0	 
bank food	food banks	food banks|&|Food Bank|&|food bank	2	92,8447232063	435,652931984	213,246111293	35,0	4780,0	 
jail	jail	jail|&|jails|&|Jail	1	134,035547033	542,139510506	468,993608234	122,0	18205,0	 
carbon emiss	carbon emissions	carbon emissions|&|carbon emission|&|Carbon emissions	2	118,022953228	492,165766922	524,491447377	62,0	7875,0	 
credit	credit	credit|&|credits|&|Credit|&|Credits	1	410,049488331	1290,63147416	399,8843613	338,0	48719,0	 
mentor	mentors	mentors|&|mentor|&|Mentors|&|Mentor|&|MENTOR	1	1208,30563511	2575,76178801	1804,78839237	850,0	119445,0	 
smoke	smoke	smoke	1	49,6427951974	254,402666415	314,031353835	36,0	5109,0	 
media platform social	social media platforms	social media platforms|&|social media platform	3	39,714236158	205,792135878	281,74372749	17,0	2219,0	 
materi recycl	recycled materials	recycled materials|&|recyclable materials	2	56,6510175496	280,52370128	160,261922607	27,0	3262,0	 
counti	County	County|&|county|&|counties|&|Counties	1	520,256493669	1571,80308348	282,582259691	371,0	51778,0	 
amount peopl	amount of people	amount of people|&|amount of the people	3	34,6200662803	181,820791664	199,384198673	20,0	2947,0	 
air indoor pollut	indoor air pollution	indoor air pollution	3	37,7285243501	193,346026476	327,249233081	18,0	2495,0	 
program train	training program	training program|&|training programs|&|Training Program|&|program trains|&|Training program|&|Training programs|&|Training Programs	2	407,572598482	1182,1704692	324,343518451	237,0	31919,0	 
audienc target	target audience	target audience|&|target audiences|&|targeted audience	2	102,286559465	430,071136965	229,116979433	57,0	8544,0	 
attitud	attitudes	attitudes|&|attitude|&|Attitude|&|Attitudes	1	332,606727823	1029,43620088	224,87398516	331,0	48719,0	 
decis make	decision making	decision making|&|making decisions|&|making decision	2	58,224656926	278,423713186	154,124076247	61,0	8805,0	 
org	orgs	orgs|&|org|&|Org|&|Orgs	1	125,099843898	549,275290139	164,235445744	75,0	9833,0	 
citi new york	New York City	New York City|&|City of New York	3	276,013941298	938,424122565	511,054219691	101,0	13985,0	 
unit	units	units|&|unit|&|Unit|&|Units|&|UNITED	1	390,192370252	1203,41798539	374,731846053	297,0	39874,0	 
abus drug	drug abuse	drug abuse|&|abuse drugs|&|drugs abuse|&|abuse of drugs	2	99,1392807119	420,379243922	143,587082514	57,0	8176,0	 
commun servic	community service	community service|&|Community Service|&|community services|&|Community Services|&|Community service|&|services in the community|&|service the communities|&|communities we service|&|services community|&|service of community|&|service in the communities|&|services for the community|&|service of each community|&|service a community|&|services that the community	2	336,758826545	1032,44836528	777,649536263	234,0	32697,0	 
benefit health	health benefits	health benefits	2	37,7673450331	196,507279578	169,363255635	21,0	2920,0	 
fatherless home	fatherless homes	fatherless homes|&|fatherless home	2	45,635541915	227,69972635	403,961907383	26,0	3454,0	 
board director	board of directors	board of directors|&|Board of Directors|&|board directors	3	58,224656926	271,565836343	127,76649239	36,0	4864,0	 
local women	local women	local women	2	36,1937056567	195,967535401	140,43446209	17,0	2456,0	 
household incom	household income	household income|&|household incomes|&|income households|&|income household|&|households with income	2	132,185707616	532,459219506	656,666916548	76,0	11838,0	 
individu mani	many individuals	many individuals	2	36,1937056567	185,026870499	163,11607719	23,0	2824,0	 
jersey new	New Jersey	New Jersey	2	78,6819688189	389,616251777	133,381912978	30,0	4600,0	 
focu organ	organizations focus	organizations focus|&|organizations that focus|&|organization focus|&|focus of the organization|&|focus on organizations|&|organization that focus|&|focus of organizations	2	58,224656926	269,970540471	165,114602408	37,0	4855,0	 
readi	readiness	readiness|&|Readiness|&|READY	1	67,5142014685	317,374145883	681,459427392	167,0	24099,0	 
program	program	program|&|programs|&|Program|&|Programs|&|PROGRAM|&|PROGRAMS|&|programe	1	8024,26141572	5108,66583482	1040,72021435	3915,0	514322,0	 
music	music	music|&|Music	1	589,756406946	1758,26177964	954,903750046	357,0	49130,0	 
asset	assets	assets|&|asset|&|Asset|&|Assets	1	265,092526354	903,929991167	175,913921393	219,0	31023,0	 
type	type	type|&|types|&|Type|&|TYPE|&|Types	1	503,377943302	1311,61403624	150,793668329	509,0	67797,0	 
theatr	theatre	theatre|&|Theatre|&|theatres	1	113,18557305	524,122311791	196,531359043	64,0	8699,0	 
long way	long way	long way	2	53,5037387969	252,605173592	132,191713864	34,0	4597,0	 
kerosen	kerosene	kerosene	1	80,4213282199	395,994115729	774,918969657	49,0	6203,0	 
offer program	offer programs	offer programs|&|programs offer|&|program offerings|&|programs we offer|&|offer a program|&|offer this program|&|program offer|&|offer the program|&|offer program|&|programs that offer|&|offer the programs	2	77,1083294426	337,458558707	251,259618483	51,0	7347,0	 
job more	more jobs	more jobs	2	34,6200662803	180,131672946	225,024334595	21,0	2506,0	 
popul rural	rural population	rural population|&|rural populations	2	80,2556081953	361,949020558	209,89709186	42,0	6075,0	 
famili low-incom	low-income families	low-income families	2	59,7982963024	278,905453542	233,817680033	36,0	4837,0	 
phone	phone	phone|&|phones|&|Phone	1	210,485451637	763,384215098	585,792044511	301,0	40753,0	 
effect	effectiveness	effectiveness|&|effects|&|Effects|&|Effectiveness	1	614,577804544	1516,72118329	191,720827047	692,0	97995,0	 
employ youth	youth employment	youth employment|&|Youth Employment|&|employed youth|&|employing youth|&|employment for the youth|&|employment for the youths|&|employment of youths|&|youths without employment|&|employment for youth|&|youth and employment|&|employment the youth|&|employment among youths|&|employment among the youths	2	81,8292475717	359,842071425	400,538703963	47,0	6470,0	 
employ opportun	employment opportunities	employment opportunities|&|employment opportunity|&|opportunities for employment|&|opportunity for employment|&|opportunity and employment|&|opportunity employment	2	236,045906457	780,363090872	825,089071472	158,0	21954,0	 
adult	adults	adults|&|adult|&|Adult|&|Adults|&|ADULT	1	799,249002679	1888,26333418	805,465845569	810,0	114358,0	 
food sourc	food sources	food sources|&|food source|&|source of food|&|source food	2	34,6200662803	183,596568915	160,260506467	19,0	2517,0	 
children live	lives of children	lives of children|&|lives of the children|&|children lives|&|lives of these children	3	33,046426904	173,556210224	192,440408495	24,0	4042,0	 
commun onlin	online community	online community|&|online communities	2	72,3874113134	326,463822464	190,422758396	42,0	5374,0	 
word	word	word|&|words|&|Word|&|Words	1	239,278272852	841,117328173	162,56550602	266,0	37790,0	 
room	room	room|&|rooms|&|Room	1	211,478307541	749,351682499	134,324903618	207,0	28230,0	 
kampala	Kampala	Kampala	1	48,6499392935	255,044750622	151,180322351	32,0	4344,0	 
group vulner	vulnerable groups	vulnerable groups|&|vulnerable group	2	47,2091812914	232,05286436	181,024604596	28,0	4438,0	 
scienc technolog	science and technology	science and technology|&|Science & Technology|&|Science Technology|&|technology and science|&|Science and Technology|&|science technology|&|science in technology	3	39,3409844095	204,695082894	158,792608526	21,0	3048,0	 
work	work	work|&|works|&|Work|&|Works|&|WORKS|&|workings	1	5258,16486731	3721,90716773	362,657964331	3504,0	458302,0	 
cancer patient	cancer patients	cancer patients	2	33,046426904	193,31258697	125,187106409	11,0	1138,0	 
household parent singl	single parent households	single parent households	3	35,7428125422	183,169919819	336,162941715	18,0	2741,0	 
more opportun	more opportunities	more opportunities|&|more opportunity	2	39,3409844095	197,835849008	152,621428555	25,0	3359,0	 
bridg gap	bridge the gap	bridge the gap|&|bridge gaps|&|bridge this gap|&|bridge that gap|&|bridge the gaps|&|bridges the gap|&|bridge gap|&|bridge across this gap|&|bridge a gap|&|bridges a gap|&|bridge these gaps	3	140,053904498	532,901095042	545,870380639	85,0	11523,0	 
root	root	root|&|roots|&|Roots|&|Root	1	221,406866581	787,077447195	303,806347726	370,0	51751,0	 
advocaci	advocacy	advocacy|&|Advocacy	1	478,556545703	1338,70772457	797,477842863	482,0	66413,0	 
face youth	youth face	youth face|&|facing youth|&|face with youth	2	44,0619025386	216,582673402	138,100387892	28,0	4759,0	 
high rate unemploy	high unemployment rate	high unemployment rate|&|high rate of unemployment|&|high rates of unemployment|&|high unemployment rates	3	81,4141841238	356,386522031	308,362198518	38,0	5954,0	 
climat	climate	climate|&|Climate|&|climates	1	212,471163445	782,808111066	786,434600967	364,0	50902,0	 
etiquett	etiquette	etiquette|&|Etiquette	1	44,6785156777	224,255048323	331,989095367	47,0	7129,0	 
household	households	households|&|household|&|Household|&|Households	1	837,970382933	2035,98474414	688,500900309	698,0	96752,0	 
centuri	century	century|&|Century|&|centuries	1	55,5999306211	264,485514123	166,633012045	174,0	24738,0	 
black children	Black children	Black children|&|black children	2	114,875674476	479,041346471	591,25774093	59,0	8809,0	 
indic	indicators	indicators|&|indicator|&|Indicators|&|indices|&|indication|&|indications	1	439,835165449	1215,16021258	243,734737726	513,0	73011,0	 
honey	honey	honey|&|Honey	1	66,5213455646	330,645262355	158,318232279	43,0	6173,0	 
10,000	10,000	10,000	1	204,528316213	710,069422626	143,890945114	271,0	36569,0	 
liter	liters	liters|&|liter	1	36,7356684461	203,153004925	390,942896808	24,0	2859,0	 
south sudan	South Sudan	South Sudan	2	51,9300994205	281,170811662	137,607991739	17,0	2213,0	 
pregnanc teenag	teenage pregnancy	teenage pregnancy|&|teenage pregnancies	2	37,7673450331	194,750342096	149,763277357	22,0	2997,0	 
program success	program success	program success|&|success of the program|&|successful programs|&|successful program|&|success of this program|&|programs success|&|program a success|&|success of the programs|&|success program|&|success of programs|&|success of all programs|&|success programs|&|success of these programs|&|success of a program|&|success in the program	2	107,007477594	437,525703651	213,644988999	69,0	10045,0	 
member product societi	productive members of society	productive members of society	4	31,7713889264	170,80231495	139,753796092	14,0	2430,0	 
polic	police	police|&|Police|&|polices	1	176,728350903	709,888710124	130,291012748	133,0	20008,0	 
travel	travel	travel|&|travelers|&|Travel|&|traveler|&|TRAVEL	1	417,992335563	1299,85643173	162,584944103	284,0	37924,0	 
ceremoni	ceremony	ceremony|&|ceremonies	1	36,7356684461	197,490176661	142,634319733	43,0	6569,0	 
achiev gap	achievement gap	achievement gap|&|achievement gaps|&|Achievement Gap	2	168,379413273	655,149780506	1066,34143448	89,0	13185,0	 
financi manag	financial management	financial management|&|Financial Management	2	58,224656926	276,632043917	151,892237933	33,0	5193,0	 
interview	interviews	interviews|&|interview|&|Interview|&|Interviews	1	384,235234828	1118,94126794	331,614600054	407,0	57146,0	 
food wast	food waste	food waste|&|food from waste	2	84,9765263245	434,410913345	332,520440629	23,0	3017,0	 
achiev student	student achievement	student achievement	2	81,8292475717	369,046060177	390,595514517	42,0	6205,0	 
perspect	perspective	perspective|&|perspectives|&|Perspective	1	297,856771185	939,804766497	186,349259137	298,0	43725,0	 
polit	politics	politics|&|Politics	1	102,264158107	436,21104961	147,717502547	86,0	11287,0	 
live own	own lives	own lives	2	62,9455750551	290,181395604	213,661502741	38,0	4960,0	 
better life	better life	better life|&|Better Life	2	56,6510175496	265,82212799	166,245191143	35,0	4667,0	 
ltd	Ltd	Ltd|&|LTD|&|ltd	1	114,178428954	463,997438963	143,932426972	115,0	14803,0	 
desir outcom	desired outcomes	desired outcomes|&|desired outcome	2	51,9300994205	248,323852301	195,820116397	32,0	5209,0	 
substanc	substance	substance|&|substances|&|Substance	1	45,6713715817	230,394792858	260,353366224	144,0	22689,0	 
lab	Lab	Lab|&|lab|&|labs|&|Labs	1	268,071094066	998,451361606	165,025239509	174,0	23424,0	 
ovc	OVC	OVC|&|OVCs	1	37,7285243501	210,249338129	217,402746667	23,0	3675,0	 
institut tertiari	tertiary institutions	tertiary institutions|&|tertiary institution	2	39,3409844095	201,116163586	208,47840759	23,0	3026,0	 
impact measur	measure impact	measure impact|&|measure the impact|&|measurable impact|&|impact measurement|&|measuring impact|&|measure this impact|&|measure impacts|&|impact measures|&|measurable impacts|&|impact measurements|&|measure of impact|&|Measuring impact|&|Impact measurement|&|measures impact|&|Impact Measurement|&|measurement of the impact|&|measure the impacts|&|measurement of impact|&|measures the impact|&|measure of impacts|&|measure of the impact|&|impact measure|&|measures of impact|&|measure these impacts|&|measure out impact|&|impact measuring|&|measure that impact|&|measurements of impact|&|measure it impact|&|measures of the impact|&|measure by the impact|&|measure on impact	2	815,145196964	1690,47787004	621,797704179	537,0	69072,0	 
beauti	beauty	beauty|&|Beauty	1	93,3284549712	423,132184396	145,454105983	73,0	9452,0	 
cell phone	cell phone	cell phone|&|cell phones	2	136,906625745	559,775532613	206,881788405	67,0	8972,0	 
law	law	law|&|laws|&|Law|&|Laws	1	426,928038698	1306,06215105	322,784328451	387,0	53917,0	 
demonstr	demonstration	demonstration|&|demonstrations|&|Demonstration	1	121,128420282	491,08162885	214,673875505	137,0	20313,0	 
manag team	management team	management team|&|team management	2	45,635541915	222,716357485	267,1385865	29,0	4233,0	 
profess	profession	profession|&|professions	1	136,021258841	541,472820937	146,398119885	122,0	17125,0	 
fatherless	fatherless	fatherless|&|fatherlessness|&|Fatherlessness|&|Fatherless	1	51,6285070053	269,071040559	474,836260282	55,0	8270,0	 
busi model	business model	business model|&|business models|&|Business model	2	492,549124807	1321,55964339	1449,87205493	294,0	37737,0	 
enterpris medium	medium enterprises	medium enterprises|&|Medium Enterprises	2	33,046426904	178,926880149	242,79795495	17,0	2545,0	 
detent	detention	detention|&|Detention	1	48,6499392935	256,589322867	262,778419168	80,0	12581,0	 
commun rural	rural communities	rural communities|&|rural community|&|community rural	2	319,448793405	1011,44459912	443,73182052	162,0	22406,0	 
financi resourc	financial resources	financial resources	2	64,5192144315	297,435930494	141,625447551	38,0	5191,0	 
dispar	disparities	disparities|&|disparity	1	153,892665112	591,047696701	297,394259001	178,0	25774,0	 
green	Green	Green|&|greens|&|Greens|&|Greene	1	446,785156777	1366,80922784	311,372536787	394,0	52357,0	 
mechan	mechanisms	mechanisms|&|mechanism|&|mechanics|&|mechanic|&|mechanization|&|Mechanism|&|Mechanics	1	321,685312879	1014,98914782	222,008872933	279,0	39933,0	 
harlem	Harlem	Harlem	1	60,5642101409	299,610132871	214,248094664	61,0	9034,0	 
wind	wind	wind|&|Wind	1	55,5999306211	276,360219282	325,113570583	50,0	6559,0	 
feedback	feedback	feedback|&|Feedback|&|feedbacks	1	480,542257511	1272,98535248	475,255606885	540,0	71870,0	 
campu colleg	college campus	college campus|&|College campus|&|campus college	2	37,7673450331	200,287166089	205,818186705	19,0	2634,0	 
commun resourc	community resources	community resources|&|community resource|&|Community Resource|&|resources for the community|&|resources in the community|&|resources for communities|&|communities with resources|&|resources of the community|&|resources of communities|&|community of resources|&|resources into the community|&|resources in these communities|&|community and resources|&|resources of each community|&|resources in communities	2	122,743871358	503,800733196	169,568043761	63,0	9417,0	 
fundrais	fundraisers	fundraisers|&|fundraise|&|fundraiser	1	86,3784636436	387,724906999	233,694166721	68,0	8898,0	 
idea own	own idea	own idea|&|own ideas	2	47,2091812914	230,396231881	131,019502617	29,0	3471,0	 
age youth	youth ages	youth ages|&|youth age|&|youth aged|&|aged youth|&|youth between the ages|&|Youth ages|&|age youth|&|youth below the age|&|youth under the age|&|age out youth	2	111,728395723	467,826859634	354,638219461	62,0	9163,0	 
environ natur	natural environment	natural environment	2	36,1937056567	186,635744509	167,717733306	22,0	2800,0	 
first program	first program	first program	2	47,2091812914	228,795767382	153,65705081	30,0	3875,0	 
incid	incidence	incidence|&|incidents|&|incident|&|incidences	1	172,756927287	645,829324983	166,305351206	168,0	25467,0	 
media outlet	media outlets	media outlets|&|media outlet	2	80,2556081953	354,64802517	375,154423499	53,0	7097,0	 
academ progress	academic progress	academic progress	2	34,6200662803	185,468379699	202,817793613	18,0	3008,0	 
digest	digester	digester|&|digestion|&|digesters	1	43,6856597738	245,38850662	388,697193502	28,0	3906,0	 
children school	school children	school children|&|children in school|&|School children|&|school for children|&|children at school|&|schools of the children|&|children from each school|&|children school|&|children in schools|&|children into schools|&|children in the school|&|school for the children|&|children for school|&|school and children|&|children through schools|&|children and schools|&|schools the children|&|schools for children	2	158,937577014	612,414053352	225,061507502	86,0	13155,0	 
fit	fitness	fitness|&|Fitness|&|FIT	1	184,671198135	763,333297449	305,246516688	117,0	16665,0	 
african american student	African American students	African American students	3	69,4999132764	330,606892653	185,268156908	26,0	5007,0	 
50,000	50,000	50,000	1	119,142708474	479,674755763	133,511857753	131,0	16693,0	 
better	Better	Better|&|betterment	1	95,3141667791	418,495459153	123,784440055	87,0	11555,0	 
comprehens	comprehension	comprehension|&|Comprehensive|&|comprehensiveness	1	62,5499219488	292,910755514	173,560649345	66,0	9708,0	 
chang measur	measure changes	measure changes|&|measure change|&|measure the change|&|measurable change|&|measure the changes|&|measure these changes|&|measure any change|&|measure if a change	2	66,0928538079	301,300345177	135,369242394	40,0	5606,0	 
multidisciplinari	multidisciplinary	multidisciplinary	1	34,7499566382	185,595610134	134,162101115	40,0	5411,0	 
base gender violenc	gender based violence	gender based violence|&|Gender Based Violence|&|Gender based violence	3	35,7428125422	187,379816783	187,774569544	16,0	2212,0	 
activ project	project activities	project activities|&|project activity|&|activities of the project|&|activities and projects|&|projects and activities|&|projects activities|&|activities of projects|&|activities of this project|&|activity or project|&|activities among the project	2	77,1083294426	349,613063267	191,992646894	41,0	7092,0	 
therapi	therapy	therapy|&|Therapy|&|therapies	1	211,478307541	832,695568882	290,487092205	148,0	20238,0	 
tourist	tourists	tourists|&|tourist|&|touristic	1	120,135564378	530,725756453	224,54277143	77,0	11059,0	 
proce	proceeds	proceeds|&|Proceeds	1	66,5213455646	310,330864116	191,250403658	57,0	7594,0	 
enrich	enrichment	enrichment|&|Enrichment	1	114,178428954	479,243843589	661,360341514	137,0	19856,0	 
life qualiti	quality of life	quality of life|&|life quality|&|quality life|&|quality for life	3	300,565120888	937,079060453	731,802154385	178,0	25765,0	 
educ health	health education	health education|&|Health education|&|health and education|&|Health Education|&|education and health|&|education & health|&|education health|&|education on health|&|Education and Health|&|Health and Education|&|health & education	2	226,604070199	810,062820436	337,765773298	113,0	16597,0	 
effici energi	energy efficiency	energy efficiency|&|energy efficient|&|Energy Efficiency|&|Energy efficiency|&|efficient energy	2	182,54216766	735,300826937	748,871529776	69,0	9092,0	 
interdisciplinari	interdisciplinary	interdisciplinary|&|Interdisciplinary	1	48,6499392935	242,987536293	195,628383285	45,0	6053,0	 
