stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
effect neg	negative effects	negative effects|&|negative effect	2	14,1627543874	70,1096971055	192,602089426	9	464	x	
negoti	negotiation	negotiation|&|negotiations	1	13,8999826553	73,7461787213	108,062434655	10	537	x	
netherland	Netherlands	Netherlands|&|netherlands|&|NETHERLANDS	1	27,7999653106	123,154356914	113,570063845	26	1277	x	
design network	network design	network design	2	4,7209181291	28,5563577056	113,344594323	3	162	x	
model network	network models	network models	2	4,7209181291	28,5563577056	141,126214929	3	205	x	
network node	network nodes	network nodes|&|nodes in these networks|&|nodes within the network	2	4,7209181291	30,4705252852	165,47225011	2	101	x	
network servic	network services	network services|&|network service|&|services network|&|service networks	2	12,589115011	67,4241776394	189,345958485	7	484	x	
network societi	network society	network society|&|networked society	2	9,4418362583	52,2895835152	271,323146002	5	204	x	
network system	network system	network system	2	7,8681968819	45,330390324	192,869877535	4	199	x	
devic network	networking devices	networking devices	2	4,7209181291	33,7428163761	168,639576532	1	61	x	
approach new	new approaches	new approaches	2	6,2945575055	38,0751436075	148,982585294	3	213	x	
challeng new	new challenges	new challenges	2	7,8681968819	43,5746529293	165,554056193	5	324	x	
concept new	new concept	new concept|&|new concepts	2	9,4418362583	50,5681332296	139,058335516	6	310	x	
demand new	new demands	new demands|&|New Demands|&|demand new	2	7,8681968819	43,5746529293	192,924888386	5	218	x	
design new	new design	new design	2	6,2945575055	36,2643122592	203,567013443	4	214	x	
form new	new forms	new forms|&|New forms|&|new form	2	17,3100331402	83,865835778	322,056499573	10	475	x	
framework new	new framework	new framework	2	4,7209181291	28,5563577056	115,376319207	3	225	x	
inform new technolog	new information technologies	new information technologies	3	5,9571354237	34,648562585	180,777641253	3	131	x	
materi new	new materials	new materials	2	11,0154756347	58,9961554345	135,667553696	6	357	x	
media new	new media	new media	2	4,7209181291	30,4705252852	162,727370571	2	80	x	
methodolog new	new methodology	new methodology	2	12,589115011	65,483557002	154,124120466	7	380	x	
model new	new model	new model	2	9,4418362583	50,5681332296	164,287482878	6	300	x	
new opportun	new opportunities	new opportunities	2	7,8681968819	43,5746529293	206,937424473	7	317	x	
new paradigm	new paradigm	new paradigm|&|new paradigms|&|NEW PARADIGM	2	11,0154756347	57,2981123768	105,958048002	7	289	x	
new perspect	New perspectives	New perspectives|&|new perspective|&|NEW PERSPECTIVES	2	9,4418362583	50,5681332296	149,356122767	6	364	x	
develop new product	new product development	new product development|&|New product development|&|new products development|&|development of new products	3	11,9142708474	65,8696030408	165,12032895	4	181	x	
new product	new products	new products|&|new product|&|New Product	2	26,7518693984	120,609575781	270,007463263	15	723	x	
new technolog	new technologies	new technologies|&|new technology|&|New Technologies|&|NT	2	22,0309512693	100,958202119	167,067767603	15	671	x	
new tool	new tool	new tool|&|new tools|&|New Tools	2	11,0154756347	61,004514101	139,004220908	5	268	x	
new type	new type	new type|&|new types	2	7,8681968819	43,5746529293	304,684979272	5	186	x	
new way	new ways	new ways|&|new way	2	26,7518693984	122,592102574	468,178996204	17	649	x	
new way work	new ways of work	new ways of work	4	7,9428472316	46,1980834466	336,787655688	3	122	x	
new practic work	new working practices	new working practices|&|New working practices	3	7,9428472316	49,418630858	184,342677416	2	79	x	
new zealand	New Zealand	New Zealand|&|new zealand	2	12,589115011	69,7194446869	127,985495282	5	231	x	
decad next	next decade	next decade|&|next decades	2	6,2945575055	36,2643122592	150,508176662	4	262	x	
few next year	next few years	next few years	3	7,9428472316	43,9130686939	166,690370147	4	150	x	
ngo	NGOs	NGOs|&|NGO	1	10,9214149434	59,0941120483	175,545933789	9	526	x	
market nich	niche markets	niche markets|&|market niche|&|niche in the market	2	6,2945575055	36,2643122592	122,319365639	4	322	x	
nickel	nickel	nickel|&|Nickel	1	19,857118079	115,495208617	143,965379815	6	482	x	
coat nicrbsi	NiCrBSi coatings	NiCrBSi coatings	2	7,8681968819	50,7842088087	160,549140514	2	100	x	
imag light nighttim	nighttime light image	nighttime light image|&|nighttime light images	3	7,9428472316	49,418630858	135,270121228	2	136	x	
nitrogen	nitrogen	nitrogen|&|Nitrogen	1	15,8856944632	81,3850425648	166,268636541	12	782	x	
energi fuel non-fossil	non-fossil fuel energy	non-fossil fuel energy|&|Non-fossil fuel energy	3	7,9428472316	54,9241930222	112,642953162	2	117	x	
non-work time	non-work time	non-work time	2	4,7209181291	30,4705252852	145,671704287	2	89	x	
miner nonmetal	nonmetallic minerals	nonmetallic minerals	2	4,7209181291	30,4705252852	148,251154409	2	149	x	
nontelework	nontelework	nontelework|&|nonteleworkers	1	7,9428472316	49,418630858	213,295921158	5	338	x	
america north	North America	North America	2	7,8681968819	43,5746529293	111,447082887	5	331	x	
china northeast	Northeast China	Northeast China|&|northeast china	2	7,8681968819	50,7842088087	295,710498318	2	92	x	
norway	Norway	Norway|&|norway	1	22,8356857908	111,895362663	187,180828017	15	953	x	
approach novel	novel approach	novel approach	2	6,2945575055	38,0751436075	136,795152829	3	185	x	
methodolog novel	novel methodology	novel methodology	2	4,7209181291	28,5563577056	131,36213878	3	219	x	
nox	NOx	NOx	1	6,9499913276	39,3519771278	186,344110104	7	483	x	nox emissions
oat	oats	oats|&|oat	1	5,9571354237	45,3223163898	156,884661906	1	53	x	
object research	objectives of the research	objectives of the research|&|objectives of this research	4	4,7209181291	28,5563577056	121,941766089	3	182	x	
group occup	occupational groups	occupational groups|&|occupational group	2	4,7209181291	28,5563577056	231,661726313	3	192	x	
health occup safeti	occupational health and safety	occupational health and safety	4	9,9285590395	61,7732885726	157,343911156	2	127	x	
environ offic	office environment	office environment|&|office environments	2	6,2945575055	36,2643122592	275,01855873	4	217	x	
offic space	office space	office space|&|office spaces	2	12,589115011	65,483557002	241,695032679	7	400	x	
offic work	office work	office work|&|work at the office|&|work outside the office	2	7,8681968819	45,330390324	322,15954651	4	162	x	
offic worker	office workers	office workers|&|office worker	2	20,4573118929	99,1141695558	610,626451492	10	478	x	
older worker	older workers	older workers	2	15,7363937638	101,568417617	258,189763543	2	94	x	
openflow switch	OpenFlow switches	OpenFlow switches|&|openflow switch|&|OpenFlow Switch	2	7,8681968819	56,2380272935	200,879278437	1	43	x	
condit oper	operating conditions	operating conditions	2	9,4418362583	52,2895835152	190,195714939	5	227	x	
infrastructur oper	operation of infrastructures	operation of infrastructures|&|operating infrastructure	3	4,7209181291	28,5563577056	211,687617007	3	172	x	
cost oper	operational cost	operational cost|&|operating cost|&|operational costs|&|operating costs|&|cost of the operation	2	22,0309512693	109,059528831	189,925540866	9	459	x	
effici oper	operational efficiency	operational efficiency|&|efficient operation	2	4,7209181291	28,5563577056	125,432872063	3	224	x	
opportun risk	opportunities and risks	opportunities and risks	3	6,2945575055	36,2643122592	351,052305533	4	132	x	
optim problem	optimization problem	optimization problem	2	4,7209181291	28,5563577056	151,088357731	3	162	x	
chang organiz	organizational change	organizational change	2	4,7209181291	28,5563577056	169,728248521	3	164	x	
characterist organiz	organizational characteristics	organizational characteristics	2	6,2945575055	36,2643122592	169,281415386	4	191	x	
commit organiz	organizational commitment	organizational commitment	2	34,6200662803	158,64860333	491,743255239	13	553	x	
commun organiz	organizational communication	organizational communication	2	4,7209181291	28,5563577056	180,882197484	3	178	x	
context organiz	organizational context	organizational context	2	6,2945575055	38,0751436075	228,300292545	3	105	x	
cultur organiz	organizational culture	organizational culture	2	6,2945575055	38,0751436075	246,385103371	3	130	x	
identif organiz	organizational identification	organizational identification	2	11,0154756347	61,004514101	234,176375837	5	224	x	
innov organiz	organizational innovation	organizational innovation	2	6,2945575055	36,2643122592	228,487734766	4	231	x	
organiz perform	organizational performance	organizational performance	2	12,589115011	65,483557002	306,381429246	7	379	x	
organiz support	organizational support	organizational support	2	7,8681968819	43,5746529293	259,036833239	5	226	x	
framework orient	orientation framework	orientation framework|&|framework of orientation	2	6,2945575055	40,627367047	219,863161975	2	102	x	
osb process product	OSB production process	OSB production process	3	5,9571354237	41,1931447667	132,760886083	1	85	x	
oslo	Oslo	Oslo	1	5,9571354237	41,1931447667	212,080383124	2	164	x	
form other virtual work	other forms of virtual work	other forms of virtual work	5	5,9571354237	34,648562585	235,857518072	3	145	x	
industri other	other industries	other industries	2	4,7209181291	30,4705252852	156,833923742	2	128	x	
materi other	other materials	other materials	2	6,2945575055	36,2643122592	137,277144809	4	297	x	
other worker	other workers	other workers	2	4,7209181291	28,5563577056	266,928281434	3	113	x	
outcom telework	outcomes of telework	outcomes of telework|&|telework outcomes	3	4,7209181291	28,5563577056	297,548942788	3	193	x	
environment impact overal	overall environmental impact	overall environmental impact|&|overall environmental impacts	3	17,8714062711	84,3119412097	110,908222743	9	517	x	
oxid	oxide	oxide|&|oxides|&|oxidation	1	13,8999826553	75,2106880615	113,734160478	9	598	x	
deplet ozon	ozone depletion	ozone depletion	2	7,8681968819	43,5746529293	115,295471348	5	386	x	
pac	PACS	PACS|&|pacs	1	9,9285590395	68,6552412778	176,541947162	2	67	x	
paid work	paid work	paid work	2	11,0154756347	57,2981123768	281,403791307	7	244	x	
paradigm shift	paradigm shift	paradigm shift	2	9,4418362583	52,2895835152	137,955127937	7	410	x	
develop park	park development	park development	2	7,8681968819	43,5746529293	117,647519359	7	429	x	
part-day	part-day	part-day	1	8,9357031355	61,78971715	183,774820918	2	97	x	
passeng	passenger	passenger|&|passengers	1	8,9357031355	49,4022022806	152,355032149	12	755	x	
car passeng	passenger cars	passenger cars|&|passenger car	2	14,1627543874	81,5947025831	132,486259183	4	249	x	
decad past	past decade	past decade|&|past decades	2	17,3100331402	82,216013407	148,250613026	11	702	x	
pca	PCAS	PCAS	1	4,9642795197	37,7685969915	129,221336237	1	69	x	purposeful complex adaptive systems
job percept qualiti	perceptions of job quality	perceptions of job quality	4	5,9571354237	41,1931447667	210,053370653	1	58	x	
evalu perform	performance evaluation	performance evaluation	2	7,8681968819	43,5746529293	184,431986562	5	301	x	
indic perform	performance indicators	performance indicators|&|performance indicator	2	12,589115011	69,7194446869	209,075724565	7	435	x	
perform project recycl	performance of recycling projects	performance of recycling projects	4	5,9571354237	41,1931447667	116,829768106	1	69	x	
paramet perform	performance parameters	performance parameters	2	6,2945575055	38,0751436075	135,572509288	3	187	x	
perform ratio	performance ratio	performance ratio	2	6,2945575055	40,627367047	194,986738353	2	162	x	
magnet perman	permanent magnets	permanent magnets|&|Permanent Magnets	2	7,8681968819	56,2380272935	226,368031831	1	30	x	
comput person	personal computers	personal computers|&|Personal Computer|&|PC|&|PCs	2	17,3100331402	85,6896297957	228,072723062	9	520	x	
peru	Peru	Peru	1	4,9642795197	34,3276206389	158,554142602	2	128	x	
pesticid	pesticide	pesticide|&|pesticides	1	6,9499913276	43,2413020008	111,396379029	4	308	x	
petroleum	petroleum	petroleum|&|Petroleum	1	6,9499913276	41,6904562543	120,715007721	6	368	x	
pgm	PGM	PGM|&|PGMs	1	6,9499913276	48,0586688945	145,777206916	2	148	x	platinum group metals
pgm product	PGM production	PGM production	2	7,8681968819	50,7842088087	145,777206916	2	148	x	
cycl life phase	phase of the life cycle	phase of the life cycle|&|life cycle phase|&|phases of the life cycle|&|life cycle phases	5	9,9285590395	54,8913358673	132,181284238	4	326	x	
phosphoru	phosphorus	phosphorus|&|Phosphorus	1	38,721380254	201,745241867	239,461234948	12	746	x	
flow phosphoru	phosphorus flows	phosphorus flows|&|phosphorus flow|&|Phosphorus flow	2	12,589115011	81,254734094	171,44071439	4	287	x	
photovolta	photovoltaic	photovoltaic|&|photovoltaics|&|Photovoltaic	1	4,9642795197	30,8866442863	173,454755861	9	643	x	
input-output physic tabl	physical input-output table	physical input-output table|&|physical Input-Output Table|&|Physical Input-Output Tables	3	7,9428472316	49,418630858	229,728416182	2	103	x	
physic properti	physical properties	physical properties	2	6,2945575055	40,627367047	115,990865046	2	147	x	
physic stock	physical stock	physical stock|&|physical stocks	2	6,2945575055	38,0751436075	221,698082302	3	188	x	
balanc physic trade	physical trade balance	physical trade balance	3	5,9571354237	34,648562585	202,470241959	3	211	x	
environment legisl nation piec protect	pieces of national legislation for environmental protection	pieces of national legislation for environmental protection	7	5,9571354237	34,648562585	282,037548151	3	140	x	
pilot project	pilot project	pilot project|&|pilot projects	2	12,589115011	72,5286245184	167,955973949	4	209	x	
network pipelin	pipeline network	pipeline network|&|Pipeline Network|&|pipeline networks	2	6,2945575055	40,627367047	212,080383124	2	164	x	
analysi polici	policy analysis	policy analysis	2	11,0154756347	58,9961554345	118,414115179	6	402	x	
develop polici	policy development	policy development|&|development policies|&|development policy	2	11,0154756347	61,004514101	123,987536025	5	325	x	
implic polici	policy implications	policy implications	2	7,8681968819	43,5746529293	194,167292976	5	274	x	
initi polici	policy initiatives	policy initiatives|&|policy initiative	2	7,8681968819	43,5746529293	136,518226414	5	292	x	
instrument polici	policy instruments	policy instruments|&|policy instrument	2	33,046426904	160,107504667	140,771873688	11	719	x	
maker polici	policy makers	policy makers|&|Policy makers	2	33,046426904	142,572136955	147,009278549	19	1296	x	
measur polici	policy measures	policy measures	2	9,4418362583	50,5681332296	194,226004431	6	375	x	
option polici	policy options	policy options	2	6,2945575055	38,0751436075	172,278062566	3	183	x	
polici transfer	policy transfer	policy transfer	2	4,7209181291	33,7428163761	130,196148686	1	72	x	
economi polit	political economy	political economy	2	4,7209181291	28,5563577056	109,93956892	3	232	x	
emiss pollut	pollutant emissions	pollutant emissions|&|pollutant emission|&|pollution emissions	2	6,2945575055	38,0751436075	149,515562613	5	383	x	
pollut	pollution	pollution|&|pollutants|&|Pollution|&|pollutant	1	67,5142014685	241,884514055	238,902154148	93	5826	x	
control pollut	pollution control	pollution control	2	9,4418362583	50,5681332296	290,610318153	7	417	x	
pollut prevent	pollution prevention	pollution prevention	2	34,6200662803	156,082980423	277,458692428	14	849	x	
pollut problem	pollution problems	pollution problems	2	4,7209181291	30,4705252852	133,172209259	2	118	x	
polym	polymers	polymers	1	5,9571354237	37,0639731435	131,835515433	4	254	x	
polypropylen	polypropylene	polypropylene	1	4,9642795197	32,3147785068	205,286252929	3	174	x	
chlorid polyvinyl	polyvinyl chloride	polyvinyl chloride|&|Polyvinyl Chloride	2	6,2945575055	40,627367047	135,188652445	2	143	x	
growth popul	population growth	population growth|&|growth in population	2	9,4418362583	50,5681332296	172,867565066	6	366	x	
effect posit	positive effect	positive effect|&|positive effects	2	15,7363937638	76,2416688891	190,648119156	10	502	x	
effect environment posit	positive environmental effects	positive environmental effects	3	5,9571354237	34,648562585	150,670268233	3	159	x	
possibl solut	possible solution	possible solution	2	6,2945575055	36,2643122592	159,648455232	4	187	x	
benefit potenti	potential benefits	potential benefits	2	14,1627543874	70,1096971055	145,215829406	9	552	x	
effect potenti	potential effectiveness	potential effectiveness|&|potential effects	2	6,2945575055	36,2643122592	137,40917278	4	217	x	
benefit environment potenti	potential environmental benefits	potential environmental benefits	3	5,9571354237	34,648562585	139,255667026	3	197	x	
environment impact potenti	potential environmental impacts	potential environmental impacts|&|potential environmental impact	3	21,8428298869	100,746556325	124,858465954	10	639	x	
impact potenti	potential impact	potential impact|&|potential impacts|&|impact potential	2	15,7363937638	76,2416688891	151,765883195	11	659	x	
poverti reduct	poverty reduction	poverty reduction	2	6,2945575055	36,2643122592	157,687952788	4	267	x	
consumpt power	power consumption	power consumption|&|Power Consumption	2	28,3255087748	132,070653144	458,675838651	12	620	x	
gener power	power generation	power generation|&|Power Generation|&|power generating	2	18,8836725165	98,2253355031	326,238643957	9	471	x	
gener power system	power generation systems	power generation systems|&|Power system generation	3	5,9571354237	37,0639731435	151,860555807	2	99	x	
plant power	power plant	power plant|&|power plants|&|Power Plants|&|Power Plant	2	15,7363937638	84,2802220493	216,023899431	8	521	x	
power save	power saving	power saving	2	7,8681968819	50,7842088087	183,408142227	2	122	x	
power system	power system	power system|&|system power	2	11,0154756347	61,004514101	224,23064861	5	229	x	
experi practic	practical experiences	practical experiences|&|Practical experiences	2	6,2945575055	38,0751436075	177,604891629	3	104	x	
implement practic	practical implementation	practical implementation|&|practical implementations	2	6,2945575055	36,2643122592	150,438097326	4	217	x	
implic practic	Practical implications	Practical implications|&|practical implications	2	25,1782300221	110,152810734	455,486915908	17	1037	x	
ecolog industri practic	practice of industrial ecology	practice of industrial ecology|&|industrial ecology practice	4	5,9571354237	34,648562585	125,464467643	3	205	x	
expect outcom post-telework pre-telework	pre-telework expectations and post-telework outcomes	pre-telework expectations and post-telework outcomes	5	5,9571354237	41,1931447667	182,945064173	1	71	x	
precautionari principl	Precautionary Principle	Precautionary Principle|&|precautionary principle	2	20,4573118929	117,859014842	277,141511965	4	206	x	
articl present	present article	present article	2	6,2945575055	36,2643122592	121,179687063	4	170	x	
electron present	present electronics	present electronics	2	4,7209181291	28,5563577056	262,551530076	3	216	x	
prevent	prevention	prevention|&|Prevention	1	17,8714062711	93,1131885538	256,96838711	29	1620	x	
previou research	previous research	previous research|&|Previous research	2	12,589115011	63,8025149427	211,448755422	8	365	x	
previou studi	previous studies	previous studies|&|Previous studies	2	11,0154756347	57,2981123768	109,107037335	7	387	x	
energi primari	primary energy	primary energy	2	7,8681968819	43,5746529293	110,478380529	6	416	x	
materi primari	primary materials	primary materials	2	4,7209181291	28,5563577056	133,712140539	3	191	x	
privaci	privacy	privacy	1	7,9428472316	47,6462357192	267,377411729	5	231	x	
live privat	private lives	private lives	2	6,2945575055	38,0751436075	194,942716405	3	109	x	
privat properti right	private property rights	private property rights	3	5,9571354237	41,1931447667	154,008107665	1	52	x	
privat sector	private sector	private sector|&|private sectors	2	20,4573118929	95,3843606036	280,787329456	12	549	x	
problem represent	problem representation	problem representation	2	4,7209181291	30,4705252852	203,398809566	2	102	x	
analysi process	process analysis	process analysis|&|analysis process|&|processes analysis|&|analysis of the processes	2	9,4418362583	52,2895835152	155,876940188	5	251	x	
chain process	process chain	process chain|&|Chain processes	2	4,7209181291	28,5563577056	147,71526305	3	200	x	
data process	process data	process data|&|Data Processing	2	6,2945575055	36,2643122592	120,441975782	4	234	x	
design procedur process	process design procedure	process design procedure	3	5,9571354237	37,0639731435	208,796409006	2	94	x	
industri process	process industry	process industry|&|industrial processes|&|industrialization process|&|industrial process|&|Process industries|&|processing industry	2	36,1937056567	154,081660906	147,132048645	18	976	x	
cycl life process	process life cycle	process life cycle|&|life cycle processes	3	5,9571354237	37,0639731435	136,195618923	2	109	x	
model process	process model	process model	2	4,7209181291	28,5563577056	168,05295985	3	194	x	
process system	process systems	process systems|&|processing system|&|process as a system|&|process or system	2	11,0154756347	58,9961554345	155,265146113	6	315	x	
produc respons	producer responsibility	producer responsibility|&|Producer responsibility	2	11,0154756347	66,6315013132	196,395960804	7	476	x	
design product	product design	product design|&|product designers|&|Product Design|&|designing products|&|design of a product|&|Designing products	2	67,6664931843	243,069099354	562,480876654	42	2299	x	
develop product	product development	product development|&|Product Development|&|PRODUCT DEVELOPMENT|&|products development|&|product developers|&|development of the products|&|products in development|&|products for development|&|development of products	2	86,5501657008	295,122375431	705,023957506	47	2585	x	
develop process product	product development process	product development process|&|product and process development	3	19,857118079	101,731303206	172,239405799	6	397	x	
ecodesign product	product ecodesign	product ecodesign|&|ecodesign of a product|&|ecodesign products	2	7,8681968819	43,5746529293	211,464260108	5	328	x	
end product	product end	product end|&|products at the end|&|product at the end	2	9,4418362583	50,5681332296	152,621795457	6	376	x	
end-of-lif product	product end-of-life	product end-of-life|&|end-of-life products|&|end-of-life product	2	6,2945575055	36,2643122592	124,965411485	4	273	x	
group product	product groups	product groups|&|product group	2	4,7209181291	28,5563577056	107,650563191	3	231	x	
impact product	product impact	product impact|&|Production Impact|&|impact of products|&|impact those products|&|impact that product	2	7,8681968819	43,5746529293	139,777967945	5	222	x	
level product	product level	product level|&|productivity levels	2	6,2945575055	36,2643122592	151,105058641	6	468	x	
life product	product life	product life|&|life of a product	2	9,4418362583	50,5681332296	270,086772927	19	1136	x	
cycl life product	product life cycle	product life cycle|&|product life cycles|&|life cycle of a product|&|life cycle product|&|life cycle of products|&|life cycle of each product	3	37,7285243501	156,284235736	286,820695985	17	1012	x	
lifecycl product	product lifecycle	product lifecycle|&|lifecycle of products	2	7,8681968819	45,330390324	138,192774272	4	179	x	
product recoveri	product recovery	product recovery	2	9,4418362583	52,2895835152	152,325665188	5	341	x	
product stewardship	product stewardship	product stewardship	2	9,4418362583	67,4856327522	123,876706336	1	68	x	
product structur	product structure	product structure	2	6,2945575055	38,0751436075	148,885539163	3	155	x	
product use	product use	product use|&|production and use|&|used products|&|Using Products|&|production or use|&|products in use|&|use for the production|&|productive use|&|use of products|&|product in use	2	25,1782300221	110,152810734	118,883926467	18	1237	x	
activ product	production activities	production activities	2	7,8681968819	43,5746529293	145,566409139	5	331	x	
consumpt product	production and consumption	production and consumption	3	11,0154756347	57,2981123768	171,81983285	7	443	x	
centr product	Production Centres	Production Centres|&|production centre|&|Production Centre	2	4,7209181291	30,4705252852	170,124483466	2	78	x	
chain product	production chains	production chains|&|production chain|&|product chain|&|product chains|&|chain during the production	2	14,1627543874	71,7778293106	219,699625607	9	609	x	
cost product	production cost	production cost|&|production costs|&|costs of production|&|cost of production	2	11,0154756347	57,2981123768	249,073440901	7	351	x	
function product	production function	production function|&|product function|&|function of the product	2	12,589115011	69,7194446869	216,050158833	5	221	x	
network product	production networks	production networks	2	4,7209181291	30,4705252852	163,026625895	2	115	x	
phase product	production phase	production phase	2	7,8681968819	43,5746529293	148,265634722	5	299	x	
process product	production processes	production processes|&|production process|&|products and processes|&|products or processes|&|processes and products	2	58,224656926	222,14493756	175,989408342	28	1828	x	
product site	production site	production site|&|production sites|&|site of production	2	7,8681968819	45,330390324	107,139979391	4	304	x	
product stage	production stages	production stages|&|production stage|&|product stages|&|stage of production|&|products on each stage	2	11,0154756347	58,9961554345	197,7910128	6	342	x	
product system	production systems	production systems|&|production system|&|product systems|&|product system	2	59,7982963024	224,023198619	244,178332365	31	1943	x	
product technolog	production technologies	production technologies|&|production technology|&|technological products	2	17,3100331402	83,865835778	117,930995753	10	640	x	
materi product	products and materials	products and materials|&|material production|&|material products|&|material productivity|&|products or materials|&|materials and products	3	18,8836725165	91,4900026669	129,448222469	10	604	x	
product servic	products and services	products and services|&|product service|&|product or service|&|services for products	3	29,8991481512	130,806462747	164,195654666	16	1144	x	
isol profession	professional isolation	professional isolation	2	23,6045906457	122,781669379	271,31582791	7	378	x	
employe professional-level	professional-level employees	professional-level employees	2	6,2945575055	38,0751436075	301,884824329	3	122	x	
design project	project design	project design|&|design project|&|design projects	2	6,2945575055	36,2643122592	176,426767375	4	190	x	
framework propos	proposed framework	proposed framework	2	6,2945575055	38,0751436075	145,226359436	3	159	x	
prototyp	prototype	prototype|&|prototypes	1	11,9142708474	65,8696030408	198,134245123	12	580	x	
prototyp system	prototype system	prototype system|&|prototypical system|&|system prototype	2	11,0154756347	61,004514101	298,722631885	6	271	x	
contract psycholog	psychological contract	psychological contract	2	11,0154756347	63,4625464536	540,020397344	4	143	x	
administr public	public administration	public administration|&|Public Administration|&|public administrations	2	17,3100331402	95,8642364445	177,945335502	5	335	x	
polici public	public policy	public policy|&|public policies	2	11,0154756347	57,2981123768	124,220574212	7	407	x	
public sector	public sector	public sector	2	17,3100331402	90,0398908778	211,826003629	7	303	x	
public servic	public services	public services|&|Public Service	2	11,0154756347	63,4625464536	188,895704567	4	208	x	
manag purpos	purpose of management	purpose of management|&|purpose management	3	4,7209181291	28,5563577056	178,363695981	3	207	x	
articl purpos	purpose of this article	purpose of this article	4	4,7209181291	28,5563577056	175,687056913	3	175	x	
pvc	PVC	PVC|&|pvc	1	9,9285590395	64,6295570135	148,367225901	3	209	x	
qo	QoS	QoS	1	4,9642795197	30,8866442863	221,767310158	4	238	x	
demand qualiti	quality demands	quality demands|&|quality demand|&|demand for quality	2	6,2945575055	40,627367047	145,371934958	2	141	x	
manag qualiti	quality management	quality management	2	4,7209181291	30,4705252852	153,118415596	2	125	x	
life qualiti	quality of life	quality of life|&|life quality	3	23,6045906457	108,169502271	272,445808058	13	726	x	
questionnair survey	questionnaire survey	questionnaire survey|&|survey questionnaire|&|questionnaire surveys	2	7,8681968819	43,5746529293	199,226383056	5	269	x	
growth rapid	rapid growth	rapid growth	2	7,8681968819	43,5746529293	192,475077149	5	258	x	
develop product rapid	rapid product development	rapid product development|&|Rapid Product Development	3	5,9571354237	41,1931447667	183,676365711	1	42	x	
adopt rate	rate of adoption	rate of adoption|&|adoption rates|&|adoption rate	3	4,7209181291	30,4705252852	177,642949724	2	86	x	
consumpt materi raw	raw material consumption	raw material consumption|&|Raw Material Consumption|&|RMC	3	15,8856944632	92,3961668932	155,176823439	3	212	x	
equival materi raw	raw material equivalents	raw material equivalents|&|Raw Material Equivalents	3	11,9142708474	65,8696030408	189,52684705	4	292	x	
materi raw	raw materials	raw materials	2	48,7828206677	193,641339142	221,580244667	24	1563	x	
power reactiv	reactive power	reactive power	2	4,7209181291	30,4705252852	218,586447189	2	98	x	
control power reactiv	reactive power control	reactive power control|&|Reactive Power Control|&|Reactive power control	3	5,9571354237	41,1931447667	152,897448894	1	46	x	
effect rebound	rebound effect	rebound effect|&|rebound effects	2	48,7828206677	213,421070797	216,212400799	16	873	x	
decad recent	recent decades	recent decades	2	4,7209181291	28,5563577056	143,901970092	3	167	x	
recycl	recyclability	recyclability	1	4,9642795197	30,8866442863	139,446659641	4	239	x	
product recycl	recyclable products	recyclable products|&|recycled products	2	6,2945575055	36,2643122592	135,225331648	4	211	x	
materi recycl	recycled materials	recycled materials	2	6,2945575055	38,0751436075	163,434635638	3	131	x	
rate recycl	recycling rate	recycling rate|&|recycling rates	2	12,589115011	65,483557002	177,884628806	7	455	x	
recycl strategi	recycling strategy	recycling strategy|&|recycling strategies	2	4,7209181291	28,5563577056	121,766990587	3	193	x	
recycl system	recycling systems	recycling systems|&|recycling system	2	7,8681968819	45,330390324	111,056449325	4	291	x	
redesign	redesign	redesign|&|Redesign	1	14,8928385592	80,5828800659	232,977011872	13	851	x	
emiss reduc	reducing emissions	reducing emissions	2	6,2945575055	36,2643122592	156,375586882	4	296	x	
consumpt reduc resourc	reducing resource consumption	reducing resource consumption|&|reduced resource consumption	3	5,9571354237	34,648562585	109,710125186	3	214	x	
consumpt energi reduct	reduction of energy consumption	reduction of energy consumption|&|energy consumption reductions|&|energy consumption reduction	4	13,8999826553	69,0692204683	291,521435688	7	441	x	
refurbish	refurbishment	refurbishment	1	5,9571354237	38,7777342081	159,873587132	3	150	x	
regen	regenerative	regenerative	1	5,9571354237	41,1931447667	167,14290538	2	46	x	
activ consumpt region	regional consumption activities	regional consumption activities	3	5,9571354237	34,648562585	163,963135079	3	198	x	
level region	regional level	regional level	2	12,589115011	63,8025149427	122,572607299	8	421	x	
network region	regional network	regional network	2	6,2945575055	40,627367047	166,409145121	2	104	x	
analysi regress	regression analysis	regression analysis|&|Regression analysis	2	9,4418362583	50,5681332296	182,27806011	6	360	x	
rehabilit	rehabilitation	rehabilitation	1	6,9499913276	40,4233230158	165,096467715	6	366	x	
relat work	related work	related work|&|work relations|&|relations work	2	6,2945575055	36,2643122592	294,496936679	4	196	x	
reloc	relocation	relocation	1	5,9571354237	35,7346767894	214,192533875	6	314	x	
remedi	remediation	remediation|&|remedies	1	9,9285590395	61,7732885726	111,856789305	4	212	x	
commun remot	remote communities	remote communities|&|remote communication	2	7,8681968819	43,5746529293	178,802387776	5	267	x	
remot work	remote work	remote work	2	11,0154756347	57,2981123768	294,93755009	7	301	x	
remot worker	remote workers	remote workers|&|remote worker	2	11,0154756347	57,2981123768	485,850369434	7	248	x	
energi renew	renewable energy	renewable energy|&|Renewable Energy|&|renewable energies	2	37,7673450331	167,666664697	193,122453168	15	881	x	
