stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
manag resourc water	water resources management	water resources management|&|Water Resources Management|&|management of water resources	3	21,8428298869	109,603061706	212,183352817	10,0	528,0	 
commun inform technolog	information and communication technology	information and communication technology|&|information and communication technologies|&|Information and Communication Technologies|&|information and communications technology|&|Information and Communication Technology|&|information communication technology|&|Information Communication Technology|&|information and communications technologies|&|Information and Communications Technology|&|information communication technologies|&|Information and communication technologies|&|Information Communication Technologies|&|Information communication technology|&|Information and communication technology|&|information and Communication technology|&|Information & Communication Technology|&|communication and information technology|&|information communication and technology|&|information technology and communications|&|Information & Communications Technology	4	319,699601072	732,096805772	6040,56900563	153,0	6901,0	 
commun rural	rural communities	rural communities	2	6,29455750551	38,8165356986	194,236593497	4,0	240,0	 
matter particul	particulate matter	particulate matter	2	42,4882631622	184,148412468	196,838364248	27,0	1230,0	 
long-term trend	long-term trends	long-term trends|&|Long-term trends	2	6,29455750551	38,8165356986	182,477520287	4,0	240,0	 
increas popul	population increase	population increase|&|increasing population	2	9,44183625827	56,1179186744	169,198293176	5,0	334,0	 
hotspot	hotspots	hotspots|&|hotspot	1	5,95713542369	37,0639731435	169,119660763	6,0	332,0	 
emiss reduct target	emissions reductions targets	emissions reductions targets|&|emission reduction targets	3	7,94284723159	49,418630858	162,14482846	5,0	338,0	 
knowledg manag practic	knowledge management practices	knowledge management practices	3	7,94284723159	49,418630858	199,094941838	3,0	157,0	 
exist problem	existing problems	existing problems	2	6,29455750551	40,627367047	192,361319832	3,0	117,0	 
divers landscap	landscape diversity	landscape diversity	2	11,0154756347	71,0978923322	170,063857106	3,0	82,0	 
ecotour	ecotourism	ecotourism	1	7,94284723159	49,418630858	173,965890191	7,0	264,0	 
microenviron	microenvironment	microenvironment|&|microenvironments	1	4,96427951974	32,8994864184	212,68465895	10,0	523,0	 
develop educ sustain	education for sustainable development	education for sustainable development|&|Education for Sustainable Development|&|Education for sustainable development	4	35,7428125422	162,551212996	621,977070465	16,0	642,0	 
crop product	crop production	crop production	2	22,0309512693	109,890984158	174,766198573	14,0	1053,0	 
analysi decomposit	decomposition analysis	decomposition analysis|&|Decomposition Analysis	2	20,4573118929	105,459105659	207,746579931	22,0	965,0	 
level product	product level	product level|&|productivity levels|&|levels of productivity	2	7,86819688189	46,7649322286	163,598948117	7,0	508,0	 
price	price	price|&|prices|&|Price	1	60,5642101409	241,54131162	201,710658584	92,0	5433,0	 
compress	compression	compression	1	5,95713542369	37,0639731435	179,156860239	6,0	308,0	 
frequenc regul	frequency regulation	frequency regulation	2	6,29455750551	40,627367047	154,412071961	4,0	178,0	 
beta	beta	beta	1	19,857118079	115,495208617	196,761999149	9,0	456,0	 
model transport	transport model	transport model	2	6,29455750551	38,8165356986	166,889353771	6,0	397,0	 
concept ecolog industri	concept of industrial ecology	concept of industrial ecology|&|concepts of industrial ecology|&|industrial ecology concepts	4	21,8428298869	107,521217662	635,85379085	13,0	689,0	 
coppic rotat short	short rotation coppice	short rotation coppice	3	5,95713542369	37,0639731435	174,329248925	5,0	208,0	 
deliveri music	music delivery	music delivery	2	6,29455750551	43,1795904865	257,793143201	2,0	120,0	 
librarian	librarians	librarians	1	4,96427951974	36,3404627711	183,351116859	2,0	107,0	 
